Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
2355,8367,"Czy w tej sytuacji, skręcając w prawo, możesz wjechać na skrzyżowanie bez zatrzymania?",,,,N,ZZ-10-14_0003_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, when turning right can you enter the intersection without stopping?",,,,"Darf man in dieser Situation beim Rechtsabbiegen auf die Kreuzung einfahren, ohne anzuhalten?",,,,"Чи можна в цій ситуації, при повороті праворуч, в'їхати на перехрестя без зупинки?",,,
2356,8368,"Czy widoczne oznakowanie wskazuje, że powinieneś skręcić w prawo w najbliższą jezdnię?",,,,N,Film_615.wmv,PODSTAWOWY,3,B,,,,,Does the visible sign indicate that you should turn right at the nearest roadway?,,,,"Bedeutet diese Ausschilderung, dass Sie rechts in die nächste Straße abbiegen sollen?",,,,"Чи знаки, які Ви бачите, вказують на те, що Вам слід повернути праворуч в найближчу дорогу?",,,
2357,8371,Czy zakaz wyrażony tym znakiem pionowym zabrania skręcania w lewo na najbliższym skrzyżowaniu?,,,,N,ZZ-10-14_0002_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,Does the prohibition expressed by this vertical sign prohibit you from turning left at the nearest intersection?,,,,Verbietet das Verbot das Linksabbiegen auf der nächsten Kreuzung?,,,,"Чи заборона, виражена цим вертикальним знаком, забороняє поворот ліворуч на найближчому перехресті?",,,
2358,8373,Czy na tym skrzyżowaniu dopuszczalne jest skręcenie w prawo bez uprzedniego zatrzymania się?,,,,N,Slajd293_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,Is it permitted at this intersection to turn right without stopping?,,,,"Darf man auf dieser Kreuzung rechts abbiegen, ohne früher anzuhalten?",,,,"Чи можна на цьому перехресті повертати праворуч, не зупинившись перед ним?",,,
2359,8374,Czy na tym skrzyżowaniu zatrzymanie pojazdu powinno nastąpić przed znakiem „STOP”?,,,,N,Slajd293_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"Stopping the vehicle at this intersection should occur before the ""STOP"" sign?",,,,Soll auf dieser Kreuzung das Anhalten des Fahrzeugs vor dem STOP Schild erfolgen?,,,,Чи на цьому перехресті транспортний засіб повинен зупинятися перед знаком STOP?,,,
2360,8378,Czy w tej sytuacji zamierzając kontynuować jazdę prosto przez skrzyżowanie masz obowiązek zatrzymać się przed znakiem „STOP”?,,,,N,156_1024x576.jpg,PODSTAWOWY,3,B,,,,,"Are you obliged in this situation, to stop before the ""STOP"" sign if you intend to continue driving straight through the intersection?",,,,Soll man in dieser Situation beim Geradeausfahren über die Kreuzung vor dem STOP Schild anhalten?,,,,"Чи зобов’язані Ви, у цій ситуації, якщо Ви маєте намір продовжити рух прямо через перехрестя, зупинитися перед знаком STOP?",,,
2361,8380,Czy w widocznej sytuacji dopuszczalne jest zawracanie?,,,,N,Slajd372_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,Are you permitted in the presented situation to make a U-turn?,,,,Ist das Umkehren in dieser Situation zulässig?,,,,Чи дозволяється розворот у цій ситуації?,,,
2362,8383,"Czy w widocznej sytuacji masz prawo przejechać przez przejazd bez zatrzymania się, jeżeli nie nadjeżdża pojazd szynowy?",,,,N,Slajd290_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the situation presented, are you entitled to drive through the level crossing without stopping, if there is no rail vehicle approaching?",,,,"Darf man in dieser Situation über den Übergang ohne Anhalten fahren,  soweit kein Schienenfahrzeug kommt?",,,,"Чи у ситуації, яку Ви бачите, Ви маєте право проїхати переїзд без зупинки, якщо не наближається рейковий транспорт?",,,
2363,8386,"Czy w widocznej sytuacji masz prawo wjechać na przejazd kolejowy bez zatrzymania się, jeżeli nie zbliża się pojazd szynowy?",,,,N,Slajd296_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the visible situation, do you have the right to drive onto the level crossing, if there is no rail vehicle approaching?",,,,"Darf man in dieser Situation den Übergang ohne Anhalten befahren,  soweit kein Schienenfahrzeug kommt?",,,,"Чи у ситуації, яку Ви бачите, Ви маєте право без зупинки в'їхати на залізничний переїзд, якщо не наближається залізничний транспорт?",,,
2364,8387,Czy w widocznej sytuacji masz prawo zawrócić na najbliższym skrzyżowaniu?,,,,N,Slajd396_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the presenetd situation, are you entitled to make a U-turn at the nearest intersection?",,,,Darf man in dieser Situation an der nächsten Kreuzung umkehren?,,,,"Чи у ситуації, яку Ви бачите, Ви маєте право зробити розворот на найближчому перехресті?",,,
2365,8388,Czy w widocznej sytuacji masz prawo zawrócić na najbliższym skrzyżowaniu?,,,,N,Slajd407_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the presented situation, are you entitled to make a U-turn at the nearest intersection?",,,,Darf man in dieser Situation an der nächsten Kreuzung umkehren?,,,,"Чи у ситуації, яку Ви бачите, Ви маєте право зробити розворот на найближчому перехресті?",,,
2366,8389,Czy w widocznej sytuacji masz prawo zawrócić na najbliższym skrzyżowaniu?,,,,N,Slajd543_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the presented situation, are you entitled to make a U-turn at the nearest intersection?",,,,Darf man in dieser Situation an der nächsten Kreuzung umkehren?,,,,"Чи у ситуації, яку Ви бачите, Ви маєте право зробити розворот на найближчому перехресті?",,,
2367,8391,Czy w widocznej sytuacji masz prawo zawrócić na skrzyżowaniu?,,,,N,Slajd53_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the presented situation, are you entitled to make a U-turn at the nearest intersection?",,,,Darf man in dieser Situation an der nächsten Kreuzung umkehren?,,,,"Чи у ситуації, яку Ви бачите, Ви маєте право зробити розворот на перехресті?",,,
2368,8392,"Czy w widocznej sytuacji, w czasie nadawania tego sygnału świetlnego masz prawo skręcić w lewo na skrzyżowaniu?",,,,N,Slajd53_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the visible situation, when transmitting this light signal do you have the right to turn left at the intersection?",,,,Darf man in dieser Situation beim Senden dieses Lichtsignals auf der Kreuzung links abbiegen?,,,,"Чи у ситуації, яку Ви бачите, коли надається цей світловий сигнал Ви маєте право повертати ліворуч на перехресті?",,,
2369,8393,Czy widoczny znak zakazu zabrania skręcania w lewo na skrzyżowaniu?,,,,N,Slajd372_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,Does the visible prohibition sign forbid you from turning left at the intersection?,,,,"Verbietet das präsentierte Verbot, links auf der Kreuzung abzubiegen?",,,,"Чи заборонний знак, який Ви бачите, забороняє поворот ліворуч на перехресті?",,,
2370,8400,Czy w tej sytuacji masz obowiązek każdorazowo zatrzymać swój pojazd przed wjazdem na skrzyżowanie?,,,,T,PICT_147_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, are you obliged each time to stop your vehicle before entering the intersection?",,,,Soll man in dieser Situation jeweils vor der Einfahrt auf die Kreuzung anhalten?,,,,Чи у цій ситуації Ви зобов’язані щоразу зупиняти свій транспортний засіб перед в'їздом на перехрестя?,,,
2371,8401,Czy w tej sytuacji powinieneś kontynuować jazdę prosto przez skrzyżowanie?,,,,T,PICT_159_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, should you continue driving straight ahead through the intersection?",,,,Soll man in dieser Situation über die Kreuzung geradeaus fahren?,,,,Чи у цій ситуації Ви повинні продовжувати рух прямо через перехрестя?,,,
2372,8402,"Czy w tej sytuacji przed wykonaniem manewru skrętu w prawo, masz obowiązek zatrzymać się przed jezdnią poprzeczną?",,,,T,ZZ-10-14_0003_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"Are you obliged in this situation, prior to turning right to stop before the transverse roadway?",,,,Soll man in dieser Situation vor dem Rechtsabbiegen vor der Querstrße anhalten?,,,,"Чи у цій ситуації, перед поворотом праворуч, Ви зобов'язані зупинитися перед перехресною дорогою?",,,
2373,8403,Czy w tej sytuacji zabrania się wjazdu na jezdnię za tym znakiem pionowym?,,,,T,PICT_144_1024x576.wmv,PODSTAWOWY,3,B,,,,,Is it prohibited in this situation to enter the roadway beyond this vertical sign?,,,,"Ist es verboten, hinter diesem Zeichen die Straße zu befahren?",,,,"Чи заборонено, в цій ситуації, виїзд на дорогу за цим вертикальним знаком?",,,
2374,8406,Czy w tej sytuacji znak pionowy „zakaz zatrzymywania się” dotyczy również pobocza gruntowego?,,,,T,ZZ-10-14_0005_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, does the vertical sign ""stopping prohibited"" apply also to a soft shoulder?",,,,"Gilt in dieser Situation das vertikale Verkehrszeichen ""Anhalten verboten"" auch für den ungepflasterten Straßenrand?",,,,"Чи у цій ситуації, вертикальний знак «зупинка заборонена» також поширюється на ґрунтове узбіччя?",,,
2375,8414,Czy w widocznej sytuacji możesz wjechać na zwężony odcinek jezdni?,,,,T,Slajd57_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the presented situation, can you enter the narrowed section of the roadway?",,,,Darf man in dieser Situation die verengte Fahrbahnstrecke befahren?,,,,Чи можете Ви в’їхати на звужену ділянку дороги у цій ситуації?,,,
2376,8416,"Czy masz prawo prowadzić pojazd gdy obecność alkoholu w wydychanym powietrzu w Twoim organizmie przekracza 0,1 mg w dm³?",,,,N,91_1024x576.jpg,PODSTAWOWY,2,B,,,,,Are you allowed to drive a vehicle if the presence of alcohol in your breath exceeds 0.1 mg/dm³?,,,,"Darf man das Fahrzeug mit dem Alkoholgehalt in der ausgeatmeten Luft über 0,1 mg in dm3 führen?",,,,"Чи Ви маєте право керувати транспортним засобом, якщо вміст алкоголю у видихуваному Вами повітрі перевищує 0,1 мг в дм³?",,,
2377,8417,"Czy masz prawo prowadzić pojazd gdy stężenie alkoholu we krwi w Twoim organizmie przekracza 0,2‰?",,,,N,91_1024x576.jpg,PODSTAWOWY,2,B,,,,,Are you entitled to drive a vehicle if the blood alcohol concentration in your body exceeds 0.2 ‰?,,,,"Darf man das Auto führen, wenn die Alkoholkonzentration im Blut des Fahrers 0,2‰ übersteigt?",,,,"Чи дозволяється керувати транспортним засобом, якщо вміст алкоголю в крові перевищує 0,2‰?",,,
2378,8418,Czy po każdym leku dostępnym bez recepty masz prawo prowadzić pojazd?,,,,N,IMG_4570_1024x576.jpg,PODSTAWOWY,2,B,,,,,Are you entitled to drive a vehicle after any drug available without a prescription?,,,,Darf man nach jedem Medikament ohne Rezept Fahrzeuge führen?,,,,Чи після прийому кожного безрецептурного препарату дозволяється керувати автомобілем?,,,
2379,8419,Czy prowadząc pojazd w stanie po użyciu alkoholu podlegasz odpowiedzialności za wykroczenie?,,,,T,91_1024x576.jpg,PODSTAWOWY,2,B,,,,,Is driving a vehicle under the influence of alcohol subject to violation?,,,,"Haften Sie für einen Verstoß, falls Sie das Fahrzeug nach dem Alkoholkonsum führen?",,,,"Якщо Ви керуєте автомобілем, перебуваючи у стані алкогольного сп'яніння, чи передбачена з цього приводу відповідальність за правопорушення?",,,
2380,8424,"Czy po wjeździe na drogę oznaczoną tymi znakami pionowymi, masz prawo kontynuować jazdę z prędkością 30 km/h?",,,,N,PICT_143_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,"After entering the road marked with these vertical signs, do you have the right to continue driving at a speed of 30 km/h?",,,,Darf man beim Befahren der Straße mit diesen Verkehrsschildern weiterhin mit 30 km/h fahren?,,,,"Чи після виїзду на дорогу, позначену цими вертикальними знаками, Ви можете продовжувати рух зі швидкістю 30 км/год?",,,
2381,8426,Czy w miejscu oznaczonym tym znakiem informacyjnym dozwolone jest cofanie pojazdem?,,,,N,ZI-10-14_0001_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,Is it allowed to reverse a vehicle in a place marked with this information sign?,,,,Ist hinter diesem Informationszeichen das Rückwärtswahren erlaubt?,,,,"Чи дозволений рух транспортного засобу заднім ходом у зоні, позначеній цим інформаційним знаком?",,,
2382,8428,Czy w przedstawionej sytuacji wjeżdżasz na autostradę?,,,,N,PICT_18_1024x576.wmv,PODSTAWOWY,1,B,,,,,Are you entering the motorway in the presented situation?,,,,Fahren Sie in der präsentierten Situation auf eine Autobahn ein?,,,,Чи Ви виїжджаєте на автомагістраль (А) в представленій ситуації?,,,
2383,8435,Czy jadąc tym pasem ruchu masz prawo kontynuować jazdę na wprost?,,,,N,PICT_23_1024x576.wmv,PODSTAWOWY,1,B,,,,,"While driving on this traffic lane, do you have the right to continue driving straight ahead?",,,,Darf man auf diesem Verkehrsstreifen weiterhin geradeaus fahren?,,,,"Якщо Ви рухаєтеся цією смугою, чи дозволяється Вам продовжувати рух прямо?",,,
2384,8439,Czy mając zamiar zawrócić na tym skrzyżowaniu jesteś na właściwym pasie ruchu?,,,,N,ZP-10-14-0004_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,You intend to make a U-turn at this intersection. Are you on the right traffic lane?,,,,"Befinden Sie sich auf dem richtigen Verkehrsstreifen, um an dieser Kreuzung umzukehren?",,,,"Якщо Ви збираєтеся розвернутися на цьому перехресті, чи Ви зайняли правильну смугу?",,,
2385,8440,Czy manewr zawracania na tym skrzyżowaniu możesz wykonać ze skrajnego prawego pasa ruchu?,,,,N,ZP-10-14-0004_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,Can you perform a U-turn manoeuvre at this intersection from the outermost right traffic lane?,,,,Darf das Umkehren auf dieser Kreuzung vom rechten äußeren Streifen aus erfolgen?,,,,Чи можна зробити розворот на цьому перехресті з крайньої правої смуги?,,,
2386,8448,Czy w tej sytuacji widząc ten znak poziomy w postaci trójkątów masz obowiązek każdorazowego zatrzymania się przed wjazdem na drogę z pierwszeństwem?,,,,N,PICT_125_1024x576.wmv,PODSTAWOWY,1,B,,,,,"In this situation, seeing this horizontal sign in the form of triangles, are you obliged each time to stop before entering a road with priority?",,,,"Wenn man dieses horizontale Zeichen aus Dreiecken sieht, soll man jeweils vor dem Befahren der Vorfahrtsstraße anhalten?",,,,"У наведеній ситуації, коли Ви бачите цей горизонтальний знак у вигляді трикутників, чи зобов'язані Ви щоразу зупинятися перед виїздом на дорогу з перевагою руху?",,,
2387,8455,Czy z tego pasa ruchu masz prawo jechać prosto przez skrzyżowanie?,,,,N,ZP-10-14-0001_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,Do you have the right to drive straight through the intersection from this traffic lane?,,,,Darf man auf diesem Fahrstreifen geradeaus über die Kreuzung fahren?,,,,Чи дозволяється Вам їхати прямо через перехрестя з цієї смуги руху?,,,
2388,8464,Czy w tej sytuacji pojazd nadjeżdżający z przeciwka ma pierwszeństwo na zwężonym odcinku jezdni?,,,,N,Slajd297_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In this situation, do vehicles coming from the opposite direction have the right of way at the narrowed section of the roadway?",,,,Hat in diesem Fall das Fahrzeug im Gegenverkehr den Vorrang auf der verengten Fahrbahnstrecke?,,,,"Чи, у цій ситуації, зустрічний транспортний засіб має перевагу на звуженій ділянці дороги?",,,
2389,8470,Czy w widocznej sytuacji masz prawo zmienić pas ruchu i pojechać prosto przez skrzyżowanie?,,,,N,Slajd384_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In the visible situation, do you have the right to change lanes and drive straight through the intersection?",,,,Darf man in dieser Situation die Spur wechseln und geradeaus über die Kreuzung fahren?,,,,"Чи у ситуації, яку Ви бачите, Вам дозволено змінити смугу руху та проїхати перехрестя прямо?",,,
2390,8471,Czy w widocznej sytuacji masz prawo zmienić pas ruchu na lewy z zachowaniem szczególnej ostrożności?,,,,N,Slajd384_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In the visible situation, do you have the right to change lanes to the left while exercising extreme caution?",,,,Darf man in dieser Situation auf die linke Spur mit besonderer Vorsicht wechseln?,,,,"Чи у ситуації, яку Ви бачите, Ви маєте право змінити смугу руху на смугу зліва від себе, за умови дотримання особливої обережності?",,,
2391,8472,Czy w widocznej sytuacji masz prawo zmienić pas ruchu na prawy?,,,,N,Slajd393_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In the visible situation, do you have the right to change lanes to the right?",,,,Darf man in dieser Situation auf die rechte Spur wechseln?,,,,"Чи маєте Ви право змінити смугу руху на смугу справа від себе в ситуації, яку бачите?",,,
2392,8479,"Czy w tej sytuacji jesteś uprzedzany, że skręcając w prawo za znakiem wjedziesz na drogę bez przejazdu?",,,,T,PICT_134_1024x576.wmv,PODSTAWOWY,1,B,,,,,"In this situation, are you warned that turning right beyond the sign you will run into a dead-end road?",,,,"Werden Sie in dieser Situation gewarnt, dass Sie beim Rechtsabbiegen hinter dem Zeichen in eine Sackgasse gelangen?",,,,"Чи попереджають Вас, у цій ситуації, що повернувши праворуч після проїзду цього знаку, Ви виїдете на дорогу, що не має наскрізного проїзду?",,,
2393,8484,Czy w tej sytuacji znajdujesz się na drodze z pierwszeństwem?,,,,T,ZI-10-14_0002_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,"In this situation, are you on a road with the right of way?",,,,Befinden Sie sich in dieser Situation auf einer Vorfahrtsstraße?,,,,"Чи, у цій ситуації, Ви знаходитеся на дорозі з пріоритетом руху?",,,
2394,8497,Czy w tej sytuacji zatrzymanie pojazdu w celu ustąpienia pierwszeństwa powinno nastąpić bezpośrednio przed linią bezwzględnego zatrzymania?,,,,T,ZP-10-14-0011_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,"In this situation, stopping the vehicle to yield the right of way should occur directly before the mandatory stop line?",,,,Soll in dieser Situation das Anhalten des Fahrzeugs für das Gewähren der Vorfahrt direkt vor der bedingungslosen Haltelinie erfolgen?,,,,"Чи в такій ситуації транспортний засіб, який зупиняється, щоб дати дорогу, повинен це вчинити безпосередньо перед стоп-лінією, яку Ви бачите?",,,
2395,8498,"Czy widoczne znaki poziome w postaci strzałek na jezdni, nakazują jazdę tylko we wskazanym kierunku, z pasów ruchu, na których się znajdują?",,,,T,PICT_122_1024x576.wmv,PODSTAWOWY,1,B,,,,,"Do the visible horizontal signs in the form of arrows on the roadway, impose driving solely in the indicated direction from the traffic lanes on which they are currently driving?",,,,"Ordnen die angeführten horizontalen Pfeilzeichen auf der Straße die Fahrt nur in der gegebenen Richtung auf den Spuren an, auf denen sie sich befinden?",,,,"Чи горизонтальні знаки у вигляді стрілок на проїжджій частині наказують рухатися лише у вказаному напрямку, зі смуг, на яких вони розташовані?",,,
2396,8501,Czy widoczny znak poziomy rozdziela pasy ruchu przeznaczone dla ruchu o tym samym kierunku jazdy?,,,,T,PICT_114_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,Does the visible horizontal sign separate traffic lanes designated for pedestrian traffic in the same direction?,,,,Trennt das horizontale Zeichen die Fahrspuren für den Verkehr in der gleichen Richtung?,,,,"Чи горизонтальний знак, який Ви бачите, розділяє смуги, призначені для руху в тому самому напрямку?",,,
2397,8504,Czy z tego pasa ruchu dozwolona jest jazda tylko prosto przez skrzyżowanie?,,,,T,ZP-10-14-0008_Censored_1024x576.wmv,PODSTAWOWY,1,B,,,,,You are on this lane. Are you only allowed to drive straight through the intersection?,,,,Darf man auf dieser Spur ausschließlich geradeaus über die Kreuzung fahren?,,,,Чи тільки з цієї смуги руху можна їхати через перехрестя прямо?,,,
2398,8511,"Czy na drodze wewnętrznej, oznaczonej odpowiednim znakiem drogowym, masz obowiązek stosować się do umieszczonych tutaj znaków drogowych?",,,,T,Slajd_004974_1024x576.jpg,PODSTAWOWY,1,B,,,,,"Are you obliged, on an internal road marked with the relevant road sign to adhere to the road signs presented here?",,,,"Soll man auf einer internen, entsprechend ausgeschilderten Straße die dort angebrachten Verkehrszeichen befolgen?",,,,"Чи на внутрішній дорозі, позначеній відповідним дорожнім знаком, Ви зобов’язані дотримуватися дорожніх знаків, які тут встановлені?",,,
2399,8515,Czy w widocznej sytuacji znajdujesz się na drodze z pierwszeństwem?,,,,T,Slajd392_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In the situation presented, are you on a road with the right of way?",,,,Befinden Sie sich hier auf einer Vorfahrtsstraße?,,,,"Чи в ситуації, яку Ви бачите, Ви знаходитеся на дорозі з пріоритетом руху?",,,
2400,8516,"Czy zbliżasz się do miejsca, gdzie rowerzyści mogą przejeżdżać poprzecznie jezdnię?",,,,T,N682.jpg,PODSTAWOWY,1,B,,,,,"In this situation, are you approaching a place where cyclists may cross a transverse road?",,,,"Nähern Sie sich der Stelle, wo die Radfahrer quer über die Straße passieren dürfen?",,,,"Чи Ви наближаєтеся до місця, в якому велосипедисти можуть переїжджати впоперек проїжджу частину?",,,
2401,8517,Czy zbliżasz się do przejazdu dla rowerzystów i przejścia dla pieszych?,,,,T,N683.jpg,PODSTAWOWY,1,B,,,,,"In this situation, are you approaching a crossing for cyclists and pedestrians?",,,,Nähern Sie sich einem Radfahrer- und Fußgängerübergang?,,,,"Чи Ви, у цій ситуації, наближаєтесь до суміжного пішохідного переходу та велосипедного переїзду?",,,
2402,8519,Czy w widocznej sytuacji masz obowiązek jak najszybciej powrócić na prawą część jezdni?,,,,T,Slajd20_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In the visible situation, are obliged to quickly return to the right side of the roadway?",,,,Sollen Sie in dieser Situation möglichst schnell auf den rechten Fahrbahnteil wechseln?,,,,"Чи в ситуації, яку Ви бачите, Ви зобов'язані якомога швидше повернутися на праву сторону проїжджої частини?",,,
2403,8521,Czy w widocznej sytuacji znaki poziome na jezdni zezwalają na zmianę pasa ruchu na lewy?,,,,T,Slajd407_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,"In the visible situation, do the horizontal signs on the roadway allow you to change lanes to the left?",,,,Erlauben in dieser Situation die horizontalen Zeichen den Wechsel auf die linke Spur?,,,,"Чи у ситуації, яку Ви бачите, горизонтальні знаки на проїжджій частині дозволяють Вам змінити смугу на ту що ліворуч?",,,
2404,8522,Czy wyjeżdżając za te znaki informacyjne włączasz się do ruchu?,,,,T,Slajd261_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,Are merging into traffic behind this information signs?,,,,Ordnen Sie sich hinter diesen Informationszeichen in den Verkehr ein?,,,,"Чи розпочинаєте Ви рух, коли виїжджаєте за ці знаки?",,,
2405,8524,Czy z tego pasa ruchu po zmianie sygnału na zielony masz prawo skręcić w lewo na skrzyżowaniu?,,,,T,Slajd375_cen_1024x576.jpg,PODSTAWOWY,1,B,,,,,Are you entitled to turn left at the intersection from this lane after the traffic lights turn green?,,,,Darf man auf dieser Spur nach dem Signalwechsel auf Grün auf der Kreuzung links abbiegen?,,,,"Чи дозволено повертати ліворуч, на перехресті, з цієї смуги, після зміни сигналу на зелений?",,,
2406,8528,Czy kierując pojazdem silnikowym masz obowiązek stosować się do poleceń i sygnałów wydawanych w nocy poza obszarem zabudowanym przez pracownika kolejowego na przejeździe kolejowym?,,,,T,brak_zdjecia_1024x576.jpg,PODSTAWOWY,1,B,,,,,"When driving a motor vehicle, are you obliged to adhere to the orders and signals given at night outside a built-up area by the railway worker at the level crossing?",,,,Soll man beim Führen eines Kraftfahrzeugs die Anweisungen und Signale eines Bahnbeamten auf einem Bahnübergang außerhalb geschlossener Ortschaft befolgen?,,,,"Чи зобов'язані Ви під час керування автотранспортом підкорятися командам і сигналам, які подаються в нічний час поза населеним пунктом працівником залізниці на залізничному переїзді?",,,
2407,8538,"Czy w tej sytuacji, zamierzając skręcić w prawo, masz obowiązek zatrzymać się przed skrzyżowaniem?",,,,N,ZP-10-14-0017_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,You intend to turn right in this situation. Are you obliged  to stop before the intersection?,,,,Soll man in dieser Situation beim Rechtsabbiegen vor der Kreuzung anhalten?,,,,"Чи у цій ситуації, якщо Ви збираєтеся повернути праворуч, чи зобов’язані Ви зупинитися перед перехрестям?",,,
2408,8555,Czy w tej sytuacji wjeżdżając na jezdnię drogi publicznej masz obowiązek zastosować zasady związane z włączaniem się do ruchu?,,,,T,223_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In this situation, when entering the roadway of a public road are you obliged to observe the rules for merging into traffic?",,,,Soll man in dieser Situation beim Einfahren auf die Fahrbahn einer öffentlichen Straße den Grundsatz des Einordnens in den Verkehr anwenden?,,,,"Чи зобов'язані Ви, у цій ситуації, виїжджаючи на проїзну частину дороги загального користування (публічну дорогу), застосовувати правила дорожнього руху, що стосуються початку руху?",,,
2409,8559,Czy pojazd wjeżdżający na tak oznakowane skrzyżowanie ma pierwszeństwo przed pojazdem poruszającym się dookoła wyspy centralnej?,,,,N,PNS-10-14-0007_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,Does a vehicle entering an intersection marked in such a way have priority over a vehicle moving around the central Island?,,,,Hat das auf die folgendermaßen ausgeschilderte Kreuzung einfahrende Fahrzeug Vorfahrt vor dem um die zentrale Insel fahrenden Fahrzeug?,,,,"Чи має транспортний засіб, що в’їжджає на так позначене перехрестя, перевагу перед транспортним засобом, що вже рухається навколо центрального «острова» (виконує круговий рух)?",,,
2410,8562,Czy w przedstawionej sytuacji masz pierwszeństwo przed pojazdem z lewej strony?,,,,N,PICT_31_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, do you have priority over the vehicle on the left side?",,,,Haben Sie in dieser Situation Vorfahrt vor dem von links kommenden Fahrzeug?,,,,Чи маєте Ви перевагу у наведеній ситуації перед транспортним засобом зліва?,,,
2411,8564,Czy w przedstawionej sytuacji powinieneś ustąpić pierwszeństwa pojazdowi z prawej strony?,,,,N,PICT_36_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In the presented situation, should you yield priority to the vehicle on the right?",,,,Soll man in dieser Situation dem Fahrzeug an der rechten Seite die Vorfahrt gewähren?,,,,"Чи повинні Ви, у наведеній ситуації, дати дорогу транспортному засобу справа?",,,
2412,8565,Czy w przedstawionej sytuacji wjeżdżając na to skrzyżowanie musisz się bezwzględnie zatrzymać?,,,,N,PICT_38_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In the presented situation, is it mandatory to stop before entering this intersection?",,,,Soll man in dieser Situation beim Einfahren auf die Kreuzung unbedingt anhalten?,,,,"Чи у представленій ситуації, в’їжджаючи на це перехрестя Ви обов’язково повинні зупинитися?",,,
2413,8573,"Czy w tej sytuacji skręcając w lewo na skrzyżowaniu, masz obowiązek ustąpić pierwszeństwa pojazdowi z prawej strony?",,,,N,PNS-10-14-0001_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, are you obliged to yield priority to the vehicle on the right when turning left at the intersection?",,,,Soll man in dieser Situation beim Linksabbiegen an der Kreuzung dem Fahrzeug rechts die Vorfahrt gewähren?,,,,"Чи у наведеній ситуації, повертаючи вліво на перехресті, Ви зобов’язані дати дорогу транспортному засобу, який над'їжджає справа?",,,
2414,8576,Czy w tej sytuacji zbliżasz się do skrzyżowania równorzędnego?,,,,N,PNS-10-14-0007_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, are you approaching an uncontrolled intersection?",,,,Nähern Sie sich in dieser Situation einer Kreuzung gleichrangiger Straßen?,,,,Чи у наведеній ситуації Ви наближаєтеся до рівнозначного перехрестя?,,,
